thickness,k,n_trees,min_node_size,max_depth,beta,fold,auc,auc_avg,auc_std
50,5,800,0.5%,2,0.2,0,0.9590652585029602,0.9570350646972656,0.0036687685642391443
50,5,800,0.5%,2,0.2,1,0.9553654193878174,0.9570350646972656,0.0036687685642391443
50,5,800,0.5%,2,0.2,2,0.961628794670105,0.9570350646972656,0.0036687685642391443
50,5,800,0.5%,2,0.2,3,0.957161545753479,0.9570350646972656,0.0036687685642391443
50,5,800,0.5%,2,0.2,4,0.9519545435905457,0.9570350646972656,0.0036687685642391443
50,5,800,0.5%,2,0.3,0,0.9644467234611511,0.9625455737113953,0.0035968234296888113
50,5,800,0.5%,2,0.3,1,0.9650406837463379,0.9625455737113953,0.0035968234296888113
50,5,800,0.5%,2,0.3,2,0.9600884914398193,0.9625455737113953,0.0035968234296888113
50,5,800,0.5%,2,0.3,3,0.9656984806060791,0.9625455737113953,0.0035968234296888113
50,5,800,0.5%,2,0.3,4,0.9574533700942993,0.9625455737113953,0.0035968234296888113
50,5,800,0.5%,2,0.4,0,0.9681452512741089,0.9670646786689758,0.0024918382987380028
50,5,800,0.5%,2,0.4,1,0.9667721390724182,0.9670646786689758,0.0024918382987380028
50,5,800,0.5%,2,0.4,2,0.9672556519508362,0.9670646786689758,0.0024918382987380028
50,5,800,0.5%,2,0.4,3,0.9699713587760925,0.9670646786689758,0.0024918382987380028
50,5,800,0.5%,2,0.4,4,0.9631789922714233,0.9670646786689758,0.0024918382987380028
50,5,800,0.5%,2,0.5,0,0.9683448076248169,0.9690492749214172,0.003948122262954712
50,5,800,0.5%,2,0.5,1,0.9693690538406372,0.9690492749214172,0.003948122262954712
50,5,800,0.5%,2,0.5,2,0.9710187911987305,0.9690492749214172,0.003948122262954712
50,5,800,0.5%,2,0.5,3,0.9735773801803589,0.9690492749214172,0.003948122262954712
50,5,800,0.5%,2,0.5,4,0.9629362225532532,0.9690492749214172,0.003948122262954712
50,5,800,0.5%,2,0.6,0,0.9719465374946594,0.9704099893569946,0.002625642577186227
50,5,800,0.5%,2,0.6,1,0.9699788093566895,0.9704099893569946,0.002625642577186227
50,5,800,0.5%,2,0.6,2,0.9691802263259888,0.9704099893569946,0.002625642577186227
50,5,800,0.5%,2,0.6,3,0.973900556564331,0.9704099893569946,0.002625642577186227
50,5,800,0.5%,2,0.6,4,0.9670435786247253,0.9704099893569946,0.002625642577186227
50,5,800,0.5%,2,0.7,0,0.9725920557975769,0.9717637300491333,0.0019992974121123552
50,5,800,0.5%,2,0.7,1,0.970339298248291,0.9717637300491333,0.0019992974121123552
50,5,800,0.5%,2,0.7,2,0.9723803997039795,0.9717637300491333,0.0019992974121123552
50,5,800,0.5%,2,0.7,3,0.9742922782897949,0.9717637300491333,0.0019992974121123552
50,5,800,0.5%,2,0.7,4,0.9692142605781555,0.9717637300491333,0.0019992974121123552
50,5,800,0.5%,2,0.8,0,0.973534345626831,0.9726230502128601,0.0022484103683382273
50,5,800,0.5%,2,0.8,1,0.9703419208526611,0.9726230502128601,0.0022484103683382273
50,5,800,0.5%,2,0.8,2,0.9738680124282837,0.9726230502128601,0.0022484103683382273
50,5,800,0.5%,2,0.8,3,0.9751984477043152,0.9726230502128601,0.0022484103683382273
50,5,800,0.5%,2,0.8,4,0.9701725840568542,0.9726230502128601,0.0022484103683382273
50,5,800,0.5%,2,0.9,0,0.9743233919143677,0.9728471636772156,0.0018968336516991258
50,5,800,0.5%,2,0.9,1,0.9710499048233032,0.9728471636772156,0.0018968336516991258
50,5,800,0.5%,2,0.9,2,0.9734092950820923,0.9728471636772156,0.0018968336516991258
50,5,800,0.5%,2,0.9,3,0.9748045802116394,0.9728471636772156,0.0018968336516991258
50,5,800,0.5%,2,0.9,4,0.9706482887268066,0.9728471636772156,0.0018968336516991258
50,5,1000,0.5%,2,0.1,0,0.9549235701560974,0.952823281288147,0.0024441906716674566
50,5,1000,0.5%,2,0.1,1,0.9499722123146057,0.952823281288147,0.0024441906716674566
50,5,1000,0.5%,2,0.1,2,0.9528239369392395,0.952823281288147,0.0024441906716674566
50,5,1000,0.5%,2,0.1,3,0.9555514454841614,0.952823281288147,0.0024441906716674566
50,5,1000,0.5%,2,0.1,4,0.9508450031280518,0.952823281288147,0.0024441906716674566
50,5,1000,0.5%,2,0.2,0,0.9602529406547546,0.9594954252243042,0.0029274269472807646
50,5,1000,0.5%,2,0.2,1,0.9596415162086487,0.9594954252243042,0.0029274269472807646
50,5,1000,0.5%,2,0.2,2,0.9622454643249512,0.9594954252243042,0.0029274269472807646
50,5,1000,0.5%,2,0.2,3,0.9607869386672974,0.9594954252243042,0.0029274269472807646
50,5,1000,0.5%,2,0.2,4,0.9545503854751587,0.9594954252243042,0.0029274269472807646
50,5,1000,0.5%,2,0.3,0,0.9649174809455872,0.9649271965026855,0.0022676612716168165
50,5,1000,0.5%,2,0.3,1,0.9673061966896057,0.9649271965026855,0.0022676612716168165
50,5,1000,0.5%,2,0.3,2,0.9620649814605713,0.9649271965026855,0.0022676612716168165
50,5,1000,0.5%,2,0.3,3,0.9669897556304932,0.9649271965026855,0.0022676612716168165
50,5,1000,0.5%,2,0.3,4,0.9633578062057495,0.9649271965026855,0.0022676612716168165
50,5,1000,0.5%,2,0.4,0,0.9702931046485901,0.9680641293525696,0.0034242270048707724
