thickness_mu,n_trees,min_node_size,split,beta,max_depth,train_auc,eval_auc,run_dir,log_path
100,800,7.0,50_50,_5,3,0.985,0.979,results/800-7-50_50-_5-3,results/800-7-50_50-_5-3/100_evaluation.log
200,800,7.0,50_50,_5,3,0.981,0.975,results/800-7-50_50-_5-3,results/800-7-50_50-_5-3/200_evaluation.log
400,800,7.0,50_50,_5,3,0.966,0.949,results/800-7-50_50-_5-3,results/800-7-50_50-_5-3/400_evaluation.log
50,800,7.0,50_50,_5,3,0.982,0.967,results/800-7-50_50-_5-3,results/800-7-50_50-_5-3/50_evaluation.log
75,800,7.0,50_50,_5,3,0.984,0.973,results/800-7-50_50-_5-3,results/800-7-50_50-_5-3/75_evaluation.log
100,800,7.5,50_50,_5,3,0.984,0.978,results/800-7_5-50_50-_5-3,results/800-7_5-50_50-_5-3/100_evaluation.log
200,800,7.5,50_50,_5,3,0.981,0.975,results/800-7_5-50_50-_5-3,results/800-7_5-50_50-_5-3/200_evaluation.log
400,800,7.5,50_50,_5,3,0.966,0.95,results/800-7_5-50_50-_5-3,results/800-7_5-50_50-_5-3/400_evaluation.log
50,800,7.5,50_50,_5,3,0.981,0.965,results/800-7_5-50_50-_5-3,results/800-7_5-50_50-_5-3/50_evaluation.log
75,800,7.5,50_50,_5,3,0.984,0.973,results/800-7_5-50_50-_5-3,results/800-7_5-50_50-_5-3/75_evaluation.log
100,800,8.0,50_50,_5,3,0.984,0.978,results/800-8-50_50-_5-3,results/800-8-50_50-_5-3/100_evaluation.log
200,800,8.0,50_50,_5,3,0.979,0.973,results/800-8-50_50-_5-3,results/800-8-50_50-_5-3/200_evaluation.log
400,800,8.0,50_50,_5,3,0.964,0.948,results/800-8-50_50-_5-3,results/800-8-50_50-_5-3/400_evaluation.log
50,800,8.0,50_50,_5,3,0.98,0.964,results/800-8-50_50-_5-3,results/800-8-50_50-_5-3/50_evaluation.log
75,800,8.0,50_50,_5,3,0.983,0.972,results/800-8-50_50-_5-3,results/800-8-50_50-_5-3/75_evaluation.log
100,800,8.5,50_50,_5,3,0.984,0.978,results/800-8_5-50_50-_5-3,results/800-8_5-50_50-_5-3/100_evaluation.log
200,800,8.5,50_50,_5,3,0.978,0.972,results/800-8_5-50_50-_5-3,results/800-8_5-50_50-_5-3/200_evaluation.log
400,800,8.5,50_50,_5,3,0.961,0.945,results/800-8_5-50_50-_5-3,results/800-8_5-50_50-_5-3/400_evaluation.log
50,800,8.5,50_50,_5,3,0.979,0.963,results/800-8_5-50_50-_5-3,results/800-8_5-50_50-_5-3/50_evaluation.log
75,800,8.5,50_50,_5,3,0.983,0.973,results/800-8_5-50_50-_5-3,results/800-8_5-50_50-_5-3/75_evaluation.log
100,800,9.0,50_50,_5,3,0.984,0.978,results/800-9-50_50-_5-3,results/800-9-50_50-_5-3/100_evaluation.log
200,800,9.0,50_50,_5,3,0.978,0.972,results/800-9-50_50-_5-3,results/800-9-50_50-_5-3/200_evaluation.log
400,800,9.0,50_50,_5,3,0.962,0.946,results/800-9-50_50-_5-3,results/800-9-50_50-_5-3/400_evaluation.log
50,800,9.0,50_50,_5,3,0.978,0.963,results/800-9-50_50-_5-3,results/800-9-50_50-_5-3/50_evaluation.log
75,800,9.0,50_50,_5,3,0.981,0.971,results/800-9-50_50-_5-3,results/800-9-50_50-_5-3/75_evaluation.log
